CO,District Code,DISTRICT,Total_Budget,Total_Students,Per_Student_Spending,LEA Type
10,62547,Westside Elementary,"2,927,224",211.6,"13,834",Elementary
10,73809,Firebaugh-Las Deltas Unified,"27,764,671","2,222.6","12,492",Unified
10,73965,Central Unified,"149,141,649","14,981.8","9,955",Unified
10,73999,Kerman Unified,"49,224,174","4,944.5","9,955",Unified
10,75127,Mendota Unified,"32,424,075","3,157.7","10,268",Unified
10,75234,Golden Plains Unified,"21,601,051","1,619.0","13,342",Unified
10,75275,Sierra Unified,"15,699,987","1,219.9","12,870",Unified
10,75408,Riverdale Joint Unified,"18,159,372","1,562.6","11,621",Unified
10,75598,Caruthers Unified,"16,289,226","1,396.8","11,662",Unified
10,76778,Washington Unified,"32,511,806","2,468.8","13,169",Unified
11,62554,Capay Joint Union Elementary,"1,707,713",187.5,"9,109",Elementary
11,62596,Lake Elementary,"1,482,607",165.4,"8,966",Elementary
11,62638,Plaza Elementary,"1,425,752",193.4,"7,372",Elementary
11,62646,Princeton Joint Unified,"2,142,248",157.9,"13,571",Unified
11,62653,Stony Creek Joint Unified,"1,894,842",82.7,"22,912",Unified
11,62661,Willows Unified,"12,172,276","1,360.9","8,944",Unified
11,75481,Orland Joint Unified,"21,882,374","2,099.6","10,422",Unified
11,76562,Hamilton Unified,"6,967,623",669.4,"10,409",Unified
12,62679,Arcata Elementary,"5,920,911",475.7,"12,448",Elementary
12,62687,Northern Humboldt Union High,"19,043,354","1,366.5","13,936",High
12,62695,Big Lagoon Union Elementary,"491,499",15.7,"31,226",Elementary
12,62703,Blue Lake Union Elementary,"1,808,561",159.4,"11,346",Elementary
12,62729,Bridgeville Elementary,"573,860",20.5,"28,048",Elementary
12,62737,Cuddeback Union Elementary,"1,335,439",127.7,"10,461",Elementary
12,62745,Cutten Elementary,"4,924,496",594.3,"8,286",Elementary
12,62794,Fieldbrook Elementary,"1,284,963",139.5,"9,212",Elementary
12,62810,Fortuna Union High,"12,447,214","1,007.2","12,358",High
12,62828,Freshwater Elementary,"2,891,900",282.3,"10,244",Elementary
12,62836,Garfield Elementary,"684,964",65.8,"10,410",Elementary
12,62851,Green Point Elementary,"257,134",10.4,"24,724",Elementary
12,62885,Hydesville Elementary,"1,621,493",184.5,"8,787",Elementary
12,62893,Jacoby Creek Elementary,"3,956,048",435.4,"9,087",Elementary
12,62901,Klamath-Trinity Joint Unified,"17,267,055",939.2,"18,386",Unified
12,62919,Kneeland Elementary,"485,873",25.8,"18,869",Elementary
12,62927,Loleta Union Elementary,"1,580,426",96.4,"16,401",Elementary
12,62935,Maple Creek Elementary,"340,486",10.2,"33,479",Elementary
12,62950,McKinleyville Union Elementary,"10,620,901","1,085.8","9,782",Elementary
12,62968,Orick Elementary,"445,266",16.1,"27,725",Elementary
12,62976,Pacific Union Elementary,"4,847,576",502.6,"9,646",Elementary
12,62984,Peninsula Union,"638,875",30.3,"21,064",Elementary
12,63008,Rio Dell Elementary,"3,192,882",315.3,"10,126",Elementary
12,63024,Scotia Union Elementary,"2,002,894",195.9,"10,224",Elementary
12,63032,South Bay Union Elementary,"4,346,319",398.8,"10,898",Elementary
12,63040,Southern Humboldt Joint Unified,"9,298,486",677.1,"13,733",Unified
12,63057,Trinidad Union Elementary,"1,884,429",192.2,"9,807",Elementary
12,75374,Ferndale Unified,"5,396,605",480.4,"11,233",Unified
12,75382,Mattole Unified,"1,131,456",57.0,"19,843",Unified
12,75515,Eureka City Schools,"38,752,714","3,513.3","11,030",Unified
12,76802,Fortuna Elementary,"12,750,678","1,087.8","11,721",Elementary
13,63073,Brawley Elementary,"41,230,828","3,839.7","10,738",Elementary
13,63081,Brawley Union High,"21,317,338","1,743.6","12,226",High
13,63099,Calexico Unified,"107,966,021","8,756.1","12,330",Unified
13,63107,Calipatria Unified,"14,263,507","1,105.8","12,899",Unified
13,63115,Central Union High,"43,958,640","3,900.1","11,271",High
13,63123,El Centro Elementary,"54,692,415","4,725.5","11,574",Elementary
13,63131,Heber Elementary,"12,689,324","1,185.8","10,701",Elementary
13,63149,Holtville Unified,"17,606,624","1,546.6","11,384",Unified
13,63164,Imperial Unified,"39,513,634","3,996.0","9,888",Unified
13,63172,Magnolia Union Elementary,"1,214,945",132.0,"9,206",Elementary
13,63180,McCabe Union Elementary,"11,210,950","1,337.7","8,381",Elementary
13,63198,Meadows Union Elementary,"5,601,074",469.1,"11,940",Elementary
13,63206,Mulberry Elementary,"782,873",83.4,"9,387",Elementary
13,63214,San Pasqual Valley Unified,"13,441,256",656.4,"20,479",Unified
13,63222,Seeley Union Elementary,"4,204,400",325.5,"12,918",Elementary
13,63230,Westmorland Union Elementary,"4,191,352",360.7,"11,620",Elementary
14,63248,Big Pine Unified,"3,165,496",150.7,"21,012",Unified
14,63271,Death Valley Unified,"1,232,559",22.0,"55,975",Unified
14,63289,Lone Pine Unified,"5,102,217",280.0,"18,223",Unified
14,63297,Owens Valley Unified,"1,989,975",90.9,"21,897",Unified
14,63305,Round Valley Joint Elementary,"1,398,195",131.4,"10,643",Elementary
14,76687,Bishop Unified,"20,521,659","1,762.0","11,647",Unified
15,63313,Arvin Union,"33,133,730","2,923.4","11,334",Elementary
15,63321,Bakersfield City,"347,380,034","28,918.8","12,012",Elementary
15,63339,Beardsley Elementary,"16,499,406","1,719.2","9,597",Elementary
15,63347,Belridge Elementary,"1,103,823",35.1,"31,466",Elementary
15,63354,Blake Elementary,"215,145",11.4,"18,872",Elementary
15,63362,Panama-Buena Vista Union,"165,334,719","17,238.2","9,591",Elementary
15,63370,Buttonwillow Union Elementary,"4,119,338",346.3,"11,895",Elementary
15,63388,Caliente Union Elementary,"786,789",46.4,"16,968",Elementary
15,63404,Delano Union Elementary,"64,312,490","5,392.4","11,927",Elementary
15,63412,Delano Joint Union High,"52,899,011","3,954.3","13,378",High
15,63420,Di Giorgio Elementary,"2,222,221",215.7,"10,301",Elementary
15,63438,Edison Elementary,"10,683,553","1,009.9","10,579",Elementary
15,63446,Elk Hills Elementary,"1,825,735",177.9,"10,262",Elementary
15,63461,Fairfax Elementary,"28,050,692","2,575.6","10,891",Elementary
15,63479,Fruitvale Elementary,"28,493,395","3,128.0","9,109",Elementary
15,63487,General Shafter Elementary,"2,082,186",143.2,"14,545",Elementary
15,63503,Greenfield Union,"92,827,980","8,995.1","10,320",Elementary
15,63529,Kern High,"425,102,540","36,167.7","11,754",High
15,63545,Kernville Union Elementary,"9,185,163",842.4,"10,904",Elementary
15,63552,Lakeside Union,"13,098,878","1,300.1","10,075",Elementary
15,63560,Lamont Elementary,"31,556,128","2,958.4","10,667",Elementary
15,63578,Richland Union Elementary,"34,049,202","3,269.9","10,413",Elementary
15,63586,Linns Valley-Poso Flat Union,"653,412",20.6,"31,734",Elementary
15,63594,Lost Hills Union Elementary,"7,007,268",540.6,"12,963",Elementary
15,63610,Maple Elementary,"2,496,526",278.6,"8,961",Elementary
15,63628,Maricopa Unified,"4,194,854",275.2,"15,243",Unified
15,63651,McKittrick Elementary,"4,055,007",75.9,"53,433",Elementary
15,63669,Midway Elementary,"1,476,750",81.6,"18,109",Elementary
15,63677,Mojave Unified,"33,233,342","2,505.9","13,262",Unified
15,63685,Muroc Joint Unified,"19,103,327","1,779.2","10,737",Unified
15,63693,Norris Elementary,"29,499,595","3,966.1","7,438",Elementary
15,63719,Pond Union Elementary,"2,440,384",185.6,"13,149",Elementary
15,63750,Rosedale Union Elementary,"52,354,880","5,400.6","9,694",Elementary
15,63768,Semitropic Elementary,"2,501,381",214.0,"11,687",Elementary
15,63776,Southern Kern Unified,"36,077,565","3,187.1","11,320",Unified
15,63784,South Fork Union,"2,663,909",233.5,"11,411",Elementary
15,63792,Standard Elementary,"28,407,305","2,883.3","9,852",Elementary
15,63800,Taft City,"21,749,969","2,126.6","10,228",Elementary
15,63818,Taft Union High,"25,973,811",956.7,"27,151",High
15,63826,Tehachapi Unified,"40,022,066","4,140.0","9,667",Unified
15,63834,Vineland Elementary,"7,261,170",673.3,"10,785",Elementary
15,63842,Wasco Union Elementary,"36,004,472","3,488.4","10,321",Elementary
15,63859,Wasco Union High,"19,788,568","1,714.3","11,544",High
15,73544,Rio Bravo-Greeley Union Elementary,"8,820,173",986.7,"8,939",Elementary
15,73742,Sierra Sands Unified,"49,827,050","4,766.6","10,453",Unified
15,73908,McFarland Unified,"35,822,709","3,377.8","10,605",Unified
15,75168,El Tejon Unified,"7,633,156",714.7,"10,680",Unified
16,63875,Armona Union Elementary,"9,734,913",921.2,"10,568",Elementary
16,63883,Central Union Elementary,"23,350,586","1,698.2","13,750",Elementary
16,63891,Corcoran Joint Unified,"35,138,007","3,151.0","11,151",Unified
16,63917,Hanford Elementary,"56,324,626","5,353.7","10,521",Elementary
16,63925,Hanford Joint Union High,"38,829,235","3,553.8","10,926",High
16,63933,Island Union Elementary,"3,383,410",382.0,"8,857",Elementary
16,63941,Kings River-Hardwick Union Elementary,"6,740,748",782.3,"8,617",Elementary
16,63958,Kit Carson Union Elementary,"3,604,711",357.5,"10,085",Elementary
16,63966,Lakeside Union Elementary,"3,385,813",318.0,"10,648",Elementary
16,63974,Lemoore Union Elementary,"28,781,601","2,899.3","9,927",Elementary
16,63982,Lemoore Union High,"20,345,021","1,827.2","11,135",High
16,63990,Pioneer Union Elementary,"14,168,285","1,547.9","9,153",Elementary
16,73932,Reef-Sunset Unified,"29,042,298","2,483.1","11,696",Unified
17,64014,Kelseyville Unified,"18,888,787","1,569.0","12,039",Unified
17,64022,Konocti Unified,"38,964,702","3,026.7","12,874",Unified
17,64030,Lakeport Unified,"15,694,759","1,452.5","10,805",Unified
17,64048,Lucerne Elementary,"2,869,421",242.2,"11,847",Elementary
17,64055,Middletown Unified,"16,690,979","1,376.3","12,127",Unified
17,76976,Upper Lake Unified,"9,450,300",749.6,"12,607",Unified
18,64089,Big Valley Joint Unified,"2,438,966",138.2,"17,643",Unified
18,64105,Janesville Union Elementary,"3,205,170",317.6,"10,092",Elementary
18,64113,Johnstonville Elementary,"1,857,484",196.1,"9,475",Elementary
18,64139,Lassen Union High,"9,103,585",751.4,"12,116",High
18,64162,Ravendale-Termo Elementary,"281,973",6.3,"44,900",Elementary
18,64170,Richmond Elementary,"1,733,079",206.6,"8,388",Elementary
18,64188,Shaffer Union Elementary,"1,964,546",170.8,"11,502",Elementary
18,64196,Susanville Elementary,"9,352,866","1,040.5","8,989",Elementary
18,64204,Westwood Unified,"2,590,417",159.5,"16,246",Unified
18,75036,Fort Sage Unified,"2,114,143",120.5,"17,543",Unified
19,64212,ABC Unified,"208,627,000","20,041.9","10,410",Unified
19,64246,Antelope Valley Union High,"238,023,752","19,881.8","11,972",High
19,64261,Arcadia Unified,"95,999,296","9,316.0","10,305",Unified
19,64279,Azusa Unified,"108,129,157","8,358.0","12,937",Unified
19,64287,Baldwin Park Unified,"155,420,559","13,107.4","11,857",Unified
19,64295,Bassett Unified,"46,084,602","3,502.6","13,157",Unified
19,64303,Bellflower Unified,"129,639,057","11,950.7","10,848",Unified
19,64311,Beverly Hills Unified,"63,345,773","3,870.8","16,365",Unified
19,64329,Bonita Unified,"95,080,384","9,859.7","9,643",Unified
19,64337,Burbank Unified,"153,030,671","14,674.7","10,428",Unified
19,64345,Castaic Union,"19,701,119","2,170.2","9,078",Elementary
19,64352,Centinela Valley Union High,"80,342,817","6,025.6","13,334",High
19,64378,Charter Oak Unified,"48,698,492","4,749.8","10,253",Unified
19,64394,Claremont Unified,"71,182,287","6,801.9","10,465",Unified
19,64436,Covina-Valley Unified,"133,567,544","11,578.2","11,536",Unified
19,64444,Culver City Unified,"75,167,552","6,576.7","11,429",Unified
19,64451,Downey Unified,"251,062,405","21,425.2","11,718",Unified
19,64469,Duarte Unified,"41,311,746","3,285.5","12,574",Unified
19,64477,Eastside Union Elementary,"35,563,537","3,251.6","10,937",Elementary
19,64485,East Whittier City Elementary,"86,882,221","8,495.9","10,226",Elementary
19,64501,El Monte City,"101,074,828","8,391.4","12,045",Elementary
19,64519,El Monte Union High,"111,208,285","8,522.0","13,050",High
19,64527,El Rancho Unified,"92,872,094","8,281.2","11,215",Unified
19,64535,El Segundo Unified,"34,763,872","3,347.3","10,386",Unified
19,64550,Garvey Elementary,"56,753,918","4,672.4","12,147",Elementary
19,64568,Glendale Unified,"274,846,644","25,130.9","10,937",Unified
19,64576,Glendora Unified,"73,459,648","7,298.9","10,065",Unified
19,64584,Gorman Elementary,"1,099,290",84.3,"13,042",Elementary
19,64592,Hawthorne,"92,073,385","7,679.3","11,990",Elementary
19,64600,Hermosa Beach City Elementary,"12,988,639","1,327.1","9,787",Elementary
19,64626,Hughes-Elizabeth Lakes Union Elementary,"2,020,694",188.9,"10,697",Elementary
19,64634,Inglewood Unified,"113,440,128","9,319.4","12,172",Unified
19,64642,Keppel Union Elementary,"29,783,841","2,530.9","11,768",Elementary
19,64659,La Canada Unified,"43,282,599","4,037.2","10,721",Unified
19,64667,Lancaster Elementary,"147,849,370","13,355.9","11,070",Elementary
19,64683,Las Virgenes Unified,"108,104,810","11,041.1","9,791",Unified
19,64691,Lawndale Elementary,"68,163,242","5,298.0","12,866",Elementary
19,64709,Lennox,"65,575,965","5,273.4","12,435",Elementary
19,64717,Little Lake City Elementary,"46,173,303","4,279.2","10,790",Elementary
19,64725,Long Beach Unified,"864,892,658","72,564.0","11,919",Unified
19,64733,Los Angeles Unified,"6,580,724,674","489,198.8","13,452",Unified
19,64758,Los Nietos,"19,869,174","1,609.3","12,347",Elementary
19,64766,Lowell Joint,"27,485,906","3,056.6","8,992",Elementary
19,64774,Lynwood Unified,"157,894,000","13,734.0","11,497",Unified
19,64790,Monrovia Unified,"65,402,093","5,362.9","12,195",Unified
19,64808,Montebello Unified,"304,928,274","25,825.4","11,807",Unified
19,64816,Mountain View Elementary,"81,612,851","6,742.5","12,104",Elementary
19,64832,Newhall,"62,734,049","6,495.5","9,658",Elementary
19,64840,Norwalk-La Mirada Unified,"202,760,763","17,544.2","11,557",Unified
19,64857,Palmdale Elementary,"205,356,793","18,171.8","11,301",Elementary
19,64865,Palos Verdes Peninsula Unified,"116,766,257","11,067.2","10,551",Unified
19,64873,Paramount Unified,"168,163,074","14,777.3","11,380",Unified
19,64881,Pasadena Unified,"214,542,416","16,246.1","13,206",Unified
19,64907,Pomona Unified,"274,229,784","22,813.8","12,020",Unified
19,64931,Rosemead Elementary,"29,090,527","2,475.4","11,752",Elementary
19,64964,San Marino Unified,"40,244,849","3,013.2","13,356",Unified
19,64980,Santa Monica-Malibu Unified,"152,661,349","10,458.7","14,597",Unified
19,64998,Saugus Union,"93,179,918","9,577.4","9,729",Elementary
19,65029,South Pasadena Unified,"47,061,845","4,657.0","10,106",Unified
19,65037,South Whittier Elementary,"33,317,201","2,784.1","11,967",Elementary
19,65045,Sulphur Springs Union,"53,460,269","5,200.7","10,279",Elementary
19,65052,Temple City Unified,"55,969,039","5,749.7","9,734",Unified
19,65060,Torrance Unified,"231,100,625","22,791.0","10,140",Unified
19,65078,Valle Lindo Elementary,"12,678,220","1,068.8","11,862",Elementary
19,65094,West Covina Unified,"105,647,502","8,626.3","12,247",Unified
19,65102,Westside Union Elementary,"81,890,264","8,978.9","9,120",Elementary
19,65110,Whittier City Elementary,"65,778,101","5,808.7","11,324",Elementary
19,65128,Whittier Union High,"143,651,005","11,492.0","12,500",High
19,65136,William S. Hart Union High,"217,232,469","21,357.6","10,171",High
19,65151,Wilsona Elementary,"14,866,332","1,237.5","12,013",Elementary
19,73437,Compton Unified,"259,951,413","20,884.8","12,447",Unified
19,73445,Hacienda la Puente Unified,"209,487,451","18,122.9","11,559",Unified
19,73452,Rowland Unified,"159,820,952","13,316.0","12,002",Unified
19,73460,Walnut Valley Unified,"137,421,061","14,151.8","9,711",Unified
19,75291,San Gabriel Unified,"57,534,809","5,095.8","11,291",Unified
19,75309,Acton-Agua Dulce Unified,"14,743,877","1,036.3","14,228",Unified
19,75333,Manhattan Beach Unified,"72,530,175","6,521.6","11,122",Unified
19,75341,Redondo Beach Unified,"86,999,059","9,406.1","9,249",Unified
19,75713,Alhambra Unified,"191,338,499","16,622.4","11,511",Unified
19,76869,Wiseburn Unified,"26,412,921","2,455.2","10,758",Unified
20,65177,Alview-Dairyland Union Elementary,"3,778,663",363.8,"10,388",Elementary
20,65185,Bass Lake Joint Union Elementary,"7,877,282",820.8,"9,597",Elementary
20,65193,Chowchilla Elementary,"20,315,209","2,123.2","9,568",Elementary
20,65201,Chowchilla Union High,"11,539,320","1,008.8","11,438",High
20,65243,Madera Unified,"208,196,277","19,012.0","10,951",Unified
20,65276,Raymond-Knowles Union Elementary,"984,203",83.9,"11,732",Elementary
20,75580,Golden Valley Unified,"18,073,002","1,820.1","9,930",Unified
20,75606,Chawanakee Unified,"7,398,604",626.2,"11,815",Unified
20,76414,Yosemite Unified,"17,788,801","1,603.6","11,093",Unified
21,65300,Bolinas-Stinson Union,"3,719,377",77.9,"47,746",Elementary
21,65318,Dixie Elementary,"21,885,098","1,908.0","11,470",Elementary
21,65334,Kentfield Elementary,"16,413,388","1,209.9","13,565",Elementary
21,65342,Laguna Joint Elementary,"300,008",16.4,"18,304",Elementary
21,65359,Lagunitas Elementary,"3,738,179",246.6,"15,156",Elementary
21,65367,Larkspur-Corte Madera,"18,302,102","1,492.7","12,261",Elementary
21,65375,Lincoln Elementary,"214,036",11.1,"19,265",Elementary
21,65391,Mill Valley Elementary,"42,143,556","3,022.7","13,942",Elementary
21,65409,Nicasio,"927,898",41.8,"22,220",Elementary
21,65417,Novato Unified,"82,385,545","7,337.4","11,228",Unified
21,65425,Reed Union Elementary,"20,382,299","1,480.1","13,771",Elementary
21,65433,Ross Elementary,"6,908,883",369.0,"18,724",Elementary
21,65458,San Rafael City Elementary,"50,783,502","4,624.5","10,981",Elementary
21,65466,San Rafael City High,"33,703,133","2,401.4","14,035",High
21,65474,Sausalito Marin City,"5,142,479",144.8,"35,519",Elementary
21,65482,Tamalpais Union High,"78,031,685","4,419.8","17,655",High
21,65516,Union Joint Elementary,"244,879",8.2,"29,900",Elementary
21,73361,Shoreline Unified,"12,739,100",480.7,"26,501",Unified
21,75002,Ross Valley Elementary,"24,126,228","2,135.2","11,299",Elementary
22,65532,Mariposa County Unified,"19,000,480","1,589.6","11,953",Unified
23,65540,Anderson Valley Unified,"7,677,618",470.6,"16,315",Unified
23,65565,Fort Bragg Unified,"21,187,771","1,647.6","12,860",Unified
23,65573,Manchester Union Elementary,"652,484",40.2,"16,219",Elementary
23,65581,Mendocino Unified,"8,152,749",474.7,"17,174",Unified
23,65607,Round Valley Unified,"6,186,619",337.1,"18,355",Unified
23,65615,Ukiah Unified,"66,254,001","5,554.2","11,929",Unified
23,65623,Willits Unified,"18,094,900","1,408.2","12,850",Unified
23,73866,Potter Valley Community Unified,"3,753,162",252.3,"14,874",Unified
23,73916,Laytonville Unified,"4,990,404",358.7,"13,914",Unified
23,75218,Leggett Valley Unified,"2,308,622",110.0,"20,984",Unified
23,76349,Arena Union Elementary/Point Arena Joint Union High,"7,409,029",362.0,"20,466",Comm Admin
24,65631,Atwater Elementary,"44,000,090","4,785.8","9,194",Elementary
24,65649,Ballico-Cressey Elementary,"4,092,844",368.2,"11,116",Elementary
24,65680,El Nido Elementary,"2,186,759",157.6,"13,874",Elementary
24,65698,Hilmar Unified,"24,404,753","2,257.1","10,812",Unified
24,65722,Le Grand Union Elementary,"4,522,449",382.7,"11,819",Elementary
24,65730,Le Grand Union High,"6,627,570",472.5,"14,026",High
24,65748,Livingston Union,"25,533,549","2,427.0","10,521",Elementary
24,65755,Los Banos Unified,"106,306,703","9,887.1","10,752",Unified
24,65763,McSwain Union Elementary,"7,611,858",827.4,"9,200",Elementary
24,65771,Merced City Elementary,"108,026,384","10,420.1","10,367",Elementary
24,65789,Merced Union High,"119,079,958","9,759.0","12,202",High
24,65813,Plainsburg Union Elementary,"1,019,508",117.8,"8,658",Elementary
24,65821,Planada Elementary,"8,948,529",763.3,"11,724",Elementary
24,65839,Snelling-Merced Falls Union Elementary,"1,073,977",74.5,"14,418",Elementary
24,65862,Weaver Union,"28,203,432","2,721.5","10,363",Elementary
24,65870,Winton,"19,531,118","1,863.2","10,483",Elementary
24,73619,Gustine Unified,"18,951,080","1,796.5","10,549",Unified
24,73726,Merced River Union Elementary,"1,588,702",166.6,"9,535",Elementary
24,75317,Dos Palos Oro Loma Joint Unified,"25,737,895","2,205.7","11,669",Unified
24,75366,Delhi Unified,"32,033,957","2,511.7","12,754",Unified
25,65896,Surprise Valley Joint Unified,"1,870,894",107.5,"17,412",Unified
